date,ensemble
2022-01-03,1000000.0
2022-01-04,999664.4216171264
2022-01-05,988475.4970813752
2022-01-06,980933.0837815858
2022-01-07,977862.2592163926
2022-01-10,975815.5699044114
2022-01-11,983031.934852684
2022-01-12,986738.7900925524
2022-01-13,977037.8103676684
2022-01-14,972171.5709191208
2022-01-18,958785.8939934616
2022-01-19,949786.959892357
2022-01-20,939269.2838173752
2022-01-21,929450.1421395187
2022-01-24,934002.3743515856
2022-01-25,931853.3413048632
2022-01-26,928394.582611168
2022-01-27,928466.9454308396
2022-01-28,944090.1110993272
2022-01-31,943146.042619732
2022-02-01,944161.732241848
2022-02-02,947990.4015896112
2022-02-03,933535.8775077936
2022-02-04,933630.7427855494
2022-02-07,934043.3837576868
2022-02-08,947675.06283865
2022-02-09,955826.4417716028
2022-02-10,939191.8550711634
2022-02-11,923935.9844923976
2022-02-14,919123.6884528162
2022-02-15,932311.8510199548
2022-02-16,930339.5770941736
2022-02-17,913003.4669905663
2022-02-18,906872.2484961512
2022-02-22,889138.2644415858
2022-02-23,876975.7503195765
2022-02-24,883512.4838782313
2022-02-25,906489.98490057
2022-02-28,906006.6518813136
2022-03-01,892919.6260787012
2022-03-02,908517.4314337733
2022-03-03,903405.6918745995
2022-03-04,898333.6465445521
2022-03-07,876454.7480879786
2022-03-08,869607.9025641443
2022-03-09,888897.4493056299
2022-03-10,885795.7896834376
2022-03-11,877806.6973334315
2022-03-14,876246.7012244227
2022-03-15,892286.6329298975
2022-03-16,907294.2005797388
2022-03-17,919916.0942717554
2022-03-18,929053.3079901696
2022-03-21,922287.413569546
2022-03-22,930204.9516135218
2022-03-23,917119.7417365076
2022-03-24,928155.8030081752
2022-03-25,929849.0810729028
2022-03-28,933886.1892806056
2022-03-29,943513.2829466822
2022-03-30,941588.8992300988
2022-03-31,924799.7103644372
2022-04-01,927150.5009871484
2022-04-04,932767.4511366846
2022-04-05,924177.5641119808
2022-04-06,919606.9484660266
2022-04-07,924558.462727917
2022-04-08,923570.645057255
2022-04-11,909797.8102330592
2022-04-12,908296.2984003414
2022-04-13,920138.3636100658
2022-04-14,914085.8606043552
2022-04-18,910975.0969052204
2022-04-19,921804.6636236004
2022-04-20,923380.9326317027
2022-04-21,913171.678413632
2022-04-22,890383.2260089535
2022-04-25,895865.6036927646
2022-04-26,871203.3863019947
2022-04-27,867621.0066543088
2022-04-28,877803.5914653554
2022-04-29,854699.9507769588
2022-05-02,853658.4459775928
2022-05-03,854379.8298634189
2022-05-04,874521.2946049046
2022-05-05,847070.8117452282
2022-05-06,846662.8653886303
2022-05-09,829683.2224380916
2022-05-10,830664.816251202
2022-05-11,816631.021128098
2022-05-12,812694.1649071889
2022-05-13,822682.2938969044
2022-05-16,825639.4296105504
2022-05-17,836570.1235044255
2022-05-18,835733.5648219076
2022-05-19,834003.7292438131
2022-05-20,833899.8352513583
2022-05-23,836812.6245308955
2022-05-24,836829.7784145777
2022-05-25,839485.5293472864
2022-05-26,848208.6163148539
2022-05-27,863353.270269108
2022-05-31,860890.4101904567
2022-06-01,855076.4306332018
2022-06-02,864720.108952042
2022-06-03,854527.085109875
2022-06-06,853614.880051884
2022-06-07,860557.2354048236
2022-06-08,855088.8098730396
2022-06-09,835204.8661591419
2022-06-10,815704.7161205371
2022-06-13,792659.7877756275
2022-06-14,793697.3240022968
2022-06-15,804548.0129974063
2022-06-16,788865.585014252
2022-06-17,794467.9056484073
2022-06-21,809187.5533346103
2022-06-22,811730.4409730304
2022-06-23,820084.9434374165
2022-06-24,838938.650948006
2022-06-27,834556.2325306552
2022-06-28,819581.4588407443
2022-06-29,826068.6619463046
2022-06-30,818864.6070115818
2022-07-01,829193.6453882526
2022-07-05,831062.456006287
2022-07-06,832562.6470577702
2022-07-07,841234.484103104
2022-07-08,839217.7619145588
2022-07-11,833947.8449200062
2022-07-12,835103.659094933
2022-07-13,829312.1100930866
2022-07-14,830542.2274890407
