date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,999664.4216171264,1005865.5049902436
2022-01-05,988475.4970813752,995136.0138376162
2022-01-06,980933.0837815858,990471.7975821542
2022-01-07,977862.2592163926,990340.3615824638
2022-01-10,975815.5699044114,985890.7565044003
2022-01-11,983031.934852684,990896.8558394794
2022-01-12,986738.7900925524,991943.7526526102
2022-01-13,977037.8103676684,987113.9334438421
2022-01-14,972171.5709191208,981597.6787825888
2022-01-18,958785.8939934616,966746.2649914182
2022-01-19,949786.959892357,957457.7651075325
2022-01-20,939269.2838173752,948895.3129879801
2022-01-21,929450.1421395187,936594.6758276811
2022-01-24,934002.3743515856,939304.2220211355
2022-01-25,931853.3413048632,937479.1728394073
2022-01-26,928394.582611168,933935.63266254
2022-01-27,928466.9454308396,933735.8627556182
2022-01-28,944090.1110993272,949170.7840515067
2022-01-31,943146.042619732,960278.8877588881
2022-02-01,944161.732241848,967751.3072863698
2022-02-02,947990.4015896112,973876.4811240927
2022-02-03,933535.8775077936,959713.1043613582
2022-02-04,933630.7427855494,959127.5681937693
2022-02-07,934043.3837576868,959165.5789296668
2022-02-08,947675.06283865,969324.1616417221
2022-02-09,955826.4417716028,977668.4791167842
2022-02-10,939191.8550711634,963278.2124276955
2022-02-11,923935.9844923976,949514.9093374547
2022-02-14,919123.6884528162,944816.6329001071
2022-02-15,932311.8510199548,956369.6544066027
2022-02-16,930339.5770941736,954878.0533378178
2022-02-17,913003.4669905663,937870.0641431168
2022-02-18,906872.2484961512,931505.4013148939
2022-02-22,889138.2644415858,918315.0353280962
2022-02-23,876975.7503195765,905609.092680531
2022-02-24,883512.4838782313,908125.5955860567
2022-02-25,906489.98490057,930946.9851667373
2022-02-28,906006.6518813136,926405.5564008318
2022-03-01,892919.6260787012,910069.5884750595
2022-03-02,908517.4314337733,926371.3894472161
2022-03-03,903405.6918745995,923728.4688133122
2022-03-04,898333.6465445521,918812.2712749346
2022-03-07,876454.7480879786,897015.8903027246
2022-03-08,869607.9025641443,891966.3348735155
2022-03-09,888897.4493056299,909831.8078322402
2022-03-10,885795.7896834376,906765.5372886921
2022-03-11,877806.6973334315,900482.1277470364
2022-03-14,876246.7012244227,900510.7425706895
2022-03-15,892286.6329298975,916886.32280831
2022-03-16,907294.2005797388,931065.9288740121
2022-03-17,919916.0942717554,942482.0690225849
2022-03-18,929053.3079901696,949976.0564395365
2022-03-21,922287.413569546,944456.2783111915
2022-03-22,930204.9516135218,951411.9226652359
2022-03-23,917119.7417365076,939140.2206437801
2022-03-24,928155.8030081752,948691.6992987766
2022-03-25,929849.0810729028,952881.849072821
2022-03-28,933886.1892806056,955469.0348636392
2022-03-29,943513.2829466822,964716.0005445358
2022-03-30,941588.8992300988,962928.855326975
2022-03-31,924799.7103644372,947882.9034436552
2022-04-01,927150.5009871484,951707.3600422817
2022-04-04,932767.4511366846,954539.3734101022
2022-04-05,924177.5641119808,946866.8636605087
2022-04-06,919606.9484660266,942912.5726381426
2022-04-07,924558.462727917,945292.1941857454
2022-04-08,923570.645057255,949051.947115962
2022-04-11,909797.8102330592,937762.0111523072
2022-04-12,908296.2984003414,935364.345182326
2022-04-13,920138.3636100658,944773.3903494372
2022-04-14,914085.8606043552,941674.8747434141
2022-04-18,910975.0969052204,940594.1312918579
2022-04-19,921804.6636236004,954247.4595001481
2022-04-20,923380.9326317027,961069.6391916312
2022-04-21,913171.678413632,951010.1406450614
2022-04-22,890383.2260089535,924185.9856765724
2022-04-25,895865.6036927646,930693.0819926808
2022-04-26,871203.3863019947,908572.5420480419
2022-04-27,867621.0066543088,910260.389556657
2022-04-28,877803.5914653554,927055.7962368303
2022-04-29,854699.9507769588,901384.669181141
2022-05-02,853658.4459775928,903688.589572139
2022-05-03,854379.8298634189,905527.8393939637
2022-05-04,874521.2946049046,931010.0872591964
2022-05-05,847070.8117452282,901952.0541546214
2022-05-06,846662.8653886303,899257.0289164537
2022-05-09,829683.2224380916,881389.8476100483
2022-05-10,830664.816251202,879067.6158673469
2022-05-11,816631.021128098,870139.6307299716
2022-05-12,812694.1649071889,867302.1720039186
2022-05-13,822682.2938969044,880049.4353110127
2022-05-16,825639.4296105504,880780.8750477136
2022-05-17,836570.1235044255,892566.2852246611
2022-05-18,835733.5648219076,860735.817377633
2022-05-19,834003.7292438131,854259.4179339136
2022-05-20,833899.8352513583,854499.1204678736
2022-05-23,836812.6245308955,871400.5514759857
2022-05-24,836829.7784145777,872722.919352643
2022-05-25,839485.5293472864,877961.6742874989
2022-05-26,848208.6163148539,892090.6705531576
2022-05-27,863353.270269108,907828.5566330603
2022-05-31,860890.4101904567,901737.549748953
2022-06-01,855076.4306332018,896902.4987254125
2022-06-02,864720.108952042,908793.9866161636
2022-06-03,854527.085109875,899265.9977417779
2022-06-06,853614.880051884,899705.5769543898
2022-06-07,860557.2354048236,906931.4605571884
2022-06-08,855088.8098730396,899572.1122918285
2022-06-09,835204.8661591419,882130.3095579384
2022-06-10,815704.7161205371,858076.7742124917
2022-06-13,792659.7877756275,834131.2384719898
2022-06-14,793697.3240022968,829978.9926621128
2022-06-15,804548.0129974063,838280.1743582352
2022-06-16,788865.585014252,818013.4585765727
2022-06-17,794467.9056484073,816966.8286927671
2022-06-21,809187.5533346103,834500.5085003644
2022-06-22,811730.4409730304,833212.5745066479
2022-06-23,820084.9434374165,838521.531854011
2022-06-24,838938.650948006,861025.8093964461
2022-06-27,834556.2325306552,859319.6505361276
2022-06-28,819581.4588407443,845891.5039065107
2022-06-29,826068.6619463046,848141.611345564
2022-06-30,818864.6070115818,841202.142908622
2022-07-01,829193.6453882526,849998.905589767
2022-07-05,831062.456006287,846460.8641569972
2022-07-06,832562.6470577702,848370.369777194
2022-07-07,841234.484103104,857851.5926338184
2022-07-08,839217.7619145588,856583.304638431
2022-07-11,833947.8449200062,852092.1119715134
2022-07-12,835103.659094933,846830.1341853718
2022-07-13,829312.1100930866,841129.965219109
2022-07-14,830542.2274890407,837231.6759691536
2022-07-15,841735.8978945927,855219.6161022446
2022-07-18,839656.8352922596,849325.1225872926
2022-07-19,864015.4019443669,869946.694213773
2022-07-20,870181.0407166142,871252.9395591929
2022-07-21,877016.4812378545,875682.6317096023
2022-07-22,867267.4842896123,871921.2238175699
2022-07-25,866124.8267883916,874401.744650069
2022-07-26,856943.6025757451,868156.0255291206
2022-07-27,872636.3118958134,880074.8469827644
2022-07-28,888320.0239395757,889150.7109662574
2022-07-29,903363.034292664,897774.3966729929
2022-08-01,902459.6901405262,896497.0864664163
2022-08-02,898627.0547820972,885502.7480374022
2022-08-03,904427.7918617174,896882.5324118934
2022-08-04,900682.0827159351,894540.6012849978
2022-08-05,902977.7102941592,896635.6761720199
2022-08-08,903283.349423798,897430.2713870449
2022-08-09,903464.8403295596,895841.4012721851
2022-08-10,915056.602384003,910467.6334846823
2022-08-11,913791.8357290349,911210.0173237132
2022-08-12,924541.8814519962,922809.8048479704
2022-08-15,928052.6255468448,926947.8500177509
2022-08-16,935433.6940359196,933496.1602216582
2022-08-17,931022.0366567692,928803.2223708129
2022-08-18,931846.2975973208,929314.8725012079
2022-08-19,925679.5230459291,921325.2507133685
2022-08-22,909940.66416684,903746.2463063655
2022-08-23,904221.3374990544,899536.3437622621
2022-08-24,906220.0870946964,901166.5345366508
2022-08-25,916124.2416128238,909982.9966019897
2022-08-26,888452.4032034,882420.3549626165
2022-08-29,885139.2665075382,877379.7683587316
2022-08-30,876366.7154821475,868957.7210641939
2022-08-31,870845.8963522037,861292.3116346485
2022-09-01,875752.9974798282,865282.7448876362
2022-09-02,866017.7730154117,856044.5344886034
2022-09-06,861698.6494192203,851312.037711775
2022-09-07,873888.153165253,863228.8838884128
2022-09-08,879355.0787939151,868510.8279880736
2022-09-09,887028.2896551212,878820.8130133385
2022-09-12,892972.3896383365,885097.389164271
2022-09-13,858368.7963537296,850209.6729848838
2022-09-14,857251.6426519473,851032.9364094269
2022-09-15,854577.0492986758,846296.8627796419
2022-09-16,851752.045163544,842486.5534352469
2022-09-19,855309.0210088809,847878.3656451281
2022-09-20,848705.291547211,839310.6817108035
2022-09-21,836576.2802328189,825030.2297460701
2022-09-22,833896.0902608951,822102.8158374507
2022-09-23,820622.7690328677,808811.3370222966
2022-09-26,810955.5475439151,799802.2053700841
2022-09-27,806871.5926870425,796363.0879452047
2022-09-28,823731.3106054385,811362.3805824933
2022-09-29,812048.6268743594,798840.0319247473
2022-09-30,801579.2897543033,785170.5277993546
2022-10-03,822080.6677297672,806091.1136558373
2022-10-04,843401.4320272525,828653.047932499
2022-10-05,842593.8926764377,827492.706156191
2022-10-06,830136.9556452411,818009.881723616
2022-10-07,812255.9091423344,800785.6263897007
2022-10-10,809588.3124092411,798218.780613457
2022-10-11,813916.274292786,799211.2238442628
2022-10-12,813683.7307365726,798436.5949427569
2022-10-13,837387.5895546268,821065.2615506992
2022-10-14,831091.5566490482,810025.4917505492
2022-10-17,844590.4004600834,825086.0179750208
2022-10-18,851911.4503334354,834324.2283740534
2022-10-19,849885.6542061161,831591.1390141231
2022-10-20,848494.5437477421,829125.0857510457
2022-10-21,868056.4438789677,849597.1235695925
2022-10-24,882457.9198387455,860996.8208717378
2022-10-25,885252.7643898319,870211.5414901597
2022-10-26,892282.0227821659,870276.2985444344
2022-10-27,898167.6209648441,875583.6543158469
2022-10-28,921146.2225960088,898230.0984168422
2022-10-31,921603.4221428226,894708.1261294447
2022-11-01,917114.2857368778,892528.2744887637
2022-11-02,909397.6508949588,878712.8134083939
2022-11-03,908834.7392738652,874708.1795153097
2022-11-04,915511.5955589605,885695.4710101407
2022-11-07,926247.4844902348,897278.8690738353
2022-11-08,939647.5147102664,906403.5811238257
2022-11-09,926323.7080162356,888721.8089266506
2022-11-10,943884.1475380252,921561.216236777
2022-11-11,929584.1122139286,922449.2367155949
2022-11-14,924077.661049683,916677.4773043342
2022-11-15,916416.236489136,918214.2428149299
2022-11-16,921460.4355934452,917145.6713405991
2022-11-17,925795.4703453372,916940.4560754449
2022-11-18,936223.47144397,922389.9784054176
2022-11-21,930826.701233704,921148.7570435975
2022-11-22,939167.952606995,932022.6035752513
2022-11-23,942019.6870125126,934645.451123906
2022-11-25,949181.5868919682,938826.7388443562
2022-11-28,936319.9440697024,925226.3694141703
2022-11-29,936129.6605614016,925310.2919939887
2022-11-30,956524.724572022,945461.6409213332
2022-12-01,947679.2111442876,940138.2160045485
2022-12-02,947895.097969849,941091.2604669661
2022-12-05,939081.6419990849,927895.2355784759
2022-12-06,936715.3492821048,918307.6680787228
2022-12-07,938708.8486183475,918350.9106293927
2022-12-08,942174.46703418,923368.2209961268
2022-12-09,932889.8841102908,915030.950455248
2022-12-12,943563.4259727788,929478.8738785632
2022-12-13,939525.7383659672,932310.6737029237
2022-12-14,934612.8596199343,928421.4066641575
2022-12-15,913825.2321785282,907534.9343754255
2022-12-16,906891.356827576,899833.4894869885
2022-12-19,904933.5669487308,895380.2541701033
2022-12-20,905268.6619118046,897900.3873144508
2022-12-21,917264.666909058,912298.1280246429
2022-12-22,910871.926232178,902758.928118602
2022-12-23,915518.7992027592,907581.7003931869
2022-12-27,915886.3847740482,908610.2324687493
2022-12-28,907674.6766289066,898610.3125475467
2022-12-29,914426.5406196904,908042.8474952687
2022-12-30,912965.4173057864,906032.4425901753
2023-01-03,908111.1175545048,
