account_rewards,date
-8589.887024703901,2022-04-04
-4570.615645954153,2022-04-05
4951.514261890436,2022-04-06
-987.8176706619561,2022-04-07
-13772.83482419583,2022-04-08
-1501.511832717806,2022-04-11
11842.065209724358,2022-04-12
-6052.503005710547,2022-04-13
-3110.7636991348118,2022-04-14
10829.566718379967,2022-04-18
1576.269008102361,2022-04-19
-10209.254218070884,2022-04-20
-22788.452404678334,2022-04-21
5482.377683811123,2022-04-22
-24662.217390769976,2022-04-25
-3582.3796476859134,2022-04-26
10182.584811046603,2022-04-27
-23103.640688396525,2022-04-28
-1041.5047993659973,2022-04-29
721.3838858261006,2022-05-02
20141.46474148566,2022-05-03
-27450.482859676355,2022-05-04
-407.9463565979386,2022-05-05
-16979.642950538662,2022-05-06
981.5938131103758,2022-05-09
-14033.795123104006,2022-05-10
-3936.8562209091615,2022-05-11
9988.128989715595,2022-05-12
2957.1357136459555,2022-05-13
10930.693893875112,2022-05-16
-836.5586825179635,2022-05-17
-1729.8355780944694,2022-05-18
-103.89399245474488,2022-05-19
2912.789279537159,2022-05-20
17.153883682214655,2022-05-23
2655.750932708732,2022-05-24
8723.086967567448,2022-05-25
15144.653954254114,2022-05-26
-2462.8600786513416,2022-05-27
-5813.979557254817,2022-05-31
9643.678318840102,2022-06-01
-10193.023842166993,2022-06-02
-912.2050579909701,2022-06-03
6942.355352939572,2022-06-06
-5468.425531783956,2022-06-07
-19883.943713897723,2022-06-08
-19500.15003860474,2022-06-09
-23044.928344909684,2022-06-10
1037.5362266693264,2022-06-13
10850.688995109522,2022-06-14
-15682.42798315431,2022-06-15
5602.320634155301,2022-06-16
14719.64768620301,2022-06-17
2542.8876384200994,2022-06-21
8354.502464386052,2022-06-22
18853.707510589506,2022-06-23
-4382.418417350738,2022-06-24
-14974.773689910886,2022-06-27
6487.203105560271,2022-06-28
-7204.054934722837,2022-06-29
10329.038376670796,2022-06-30
1868.8106180344475,2022-07-01
